Nome Blog;desenvolver;vez;to;ti;perceb;timos;comunidade;p;tem;participar;hoje;sun;sobre;feito;dias;eventos;v;melhor;ubuntu;acontecer;apple;desinstalar;sarney;estive;usa;objetivo;iphone;duas;ltimo;apresenta;ontem;falando;aplica;testes;cidades;pouco;vou;era;deo;galera;abaixo;polis;encontro;morte;ultimamente;evento;primeira;django;ainda;agilidade;falado;forma;fiz;uol;them;python;palestras;das;locaweb;desde;fisl;todo;fazer;rj;pythonrio;departamento;compra;ginas;uncle;top;store;servi;segue;quando;lista;conhecer;bem;blogs;and;este;pra;fabio;akita;segundo;florian;servidor;qualidade;essa;pythoncampus;windows;passo;usando;ruim;tudo;h;escrevi;ingl;possa;email;ambiente;exato;aqui;ler;foram;pessoal;pr;pa;estava;fim;fui;voc;outras;site;mesmo;campanha;assim;bol;todos;livre;bob;the;nesse;desenvolvedores;veja;edted;web;tica;quest;acredito;crise;participando;twitter;tutorial;est;legal;muito;pela;amigo;martin;on;algu;erro;sou;vai;spam;nova;fora;j;pode;ap;coisa;temos;scrum;bado;sempre;oracle;at
Guilherme Chapiewski;2;2;2;2;2;2;3;0;1;2;1;0;13;2;4;2;3;0;0;2;3;0;0;2;2;2;3;2;2;4;2;2;0;3;2;2;3;3;2;2;0;3;5;0;2;5;0;0;1;2;2;0;2;0;0;6;2;1;2;2;3;2;2;2;2;0;0;0;2;2;3;0;0;5;2;2;6;4;0;0;2;2;2;0;3;0;3;2;4;0;0;1;0;0;3;2;2;0;0;0;2;2;2;2;0;2;0;2;2;4;5;2;0;2;0;2;0;2;1;2;0;4;4;3;4;1;2;0;0;0;2;2;0;2;2;5;3;2;2;2;2;0;2;3;0;0;0;2;2;0;0;2;2;3;0;0;2
Blog do Andre;0;0;1;0;0;0;0;3;2;0;2;2;1;1;0;0;0;2;3;0;0;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;2;0;0;2;5;5;0;1;4;1;2;2;0;0;2;0;0;0;0;1;0;1;2;3;2;0;0;0;3;2;1;0;0;0;0;2;3;0;0;0;2;0;2;1;0;0;3;2;2;2;2;0;0;0;2;3;3;0;0;0;0;3;0;2;0;0;0;0;0;4;0;3;1;2;1;2;0;2;0;0;0;0;2;0;2;2;2;0;1;2;1;1;1;1;0;0;0;0;2;1;0;2;2;2;1;1;3;2;0;0;0;2;2;0
